5978173,3.26E+12,CLAREDENTE CLINICA DE REABILITACAO DENTARIA,CLAREDENTE,AV. DOM HELDER CAMARA,7790,SOBRADO,ABOLICAO,20751002,25925409,22896607,cjabram@ig.com.br,-22.8861032,-43.3025663,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
5300894,4.88E+12,CLINICA ODONTOLOGICA CLAUDIA MARINHO LTDA,CLINICA ODONTOLOGICA CLAUDIA MARINHO,AV. DOM HELDER CAMARA,7703,,ABOLICAO,20751000,2.12E+11,2.12E+11,vmodonto@ig.com.br,-22.8859393,-43.3018859,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
5708605,7.97E+12,CLINICA UROLOGICA DA ABOLICAO LTDA,CLINICA UROLOGICA DA ABOLICAO,AVENIDA DOM HELDER CAMARA,7287,APT 212,ABOLICAO,20751000,24134627,24134627,joaoacpc@ig.com.br,-22.8853358,-43.2998127,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6121268,4.66E+12,INTEGRAL DIAGNOSTICO E TRATAMENTO LTDA,INTEGRAL DIAGNOSTICO E TRATAMENTO,RUA CANTILDA MACIEL,78,,ABOLICAO,20755190,22699647,,,-22.8861276,-43.2990388,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6029965,,SMS RIO CF ENFERMEIRO MARCOS VALADAO - AP 33,SMS CF MARCOS VALADAO - AP 33,AV. PASTOR MARTIN LUTHER KING JR,10976,,ACARI,21530015,21 33732253,,clinicadafamiliamarcosvaladao@gmail.com,-22.8518547,-43.3167104,,3,MUNICIPAL,4,UNIDADE SEM ATIVIDADE DE ENSINO,1,ADMINISTRACAO DIRETA DA SAUDE (MSSES E SMS),2,CENTRO DE SAUDE/UNIDADE BASICA
5717256,2.95E+13,SMSDC RIO HOSPITAL MUNICIPAL RONALDO GAZOLLA HOSP DE ACARI,SMSDC HOSPITAL MUN RONALDO GAZOLLA,AV PASTOR MARTIN LUTHER KING,10976,,ACARI,21531010,24719557,24719557,chefedegabinete@gpstotal.com.br,-22.8518547,-43.3167104,,3,MUNICIPAL,3,UNIDADE AUXILIAR DE ENSINO,1,ADMINISTRACAO DIRETA DA SAUDE (MSSES E SMS),5,HOSPITAL GERAL
2269473,,SEAP CGSP RJ AMB PRESIDIO ARY FRANCO,SEAP CGSP RJ AMB PRESIDIO ARY FRANCO,RUA VIOLETA,15,,AGUA SANTA,20745180,(21)22031468,(21)22031468,tpinfo@admpenitenciaria.rj.gov,-22.9059093,-43.3096473,,2,ESTADUAL,4,UNIDADE SEM ATIVIDADE DE ENSINO,1,ADMINISTRACAO DIRETA DA SAUDE (MSSES E SMS),2,CENTRO DE SAUDE/UNIDADE BASICA
5599342,3.38E+13,SOCIEDADE ORTODOXA DE SENHORAS DO RIO DE JANEIRO,LAR NOSSA SENHORA DA GLORIA,ESTRADA DO MARACAI,316,,ALTO DA BOA VISTA,20531690,24930846,2493608,senhorasortodoxas@yahoo.com.br,-22.9743743,-43.2843681,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,11,ENTIDADE BENEFICENTE SEM FINS LUCRATIVOS,36,CLINICA/CENTRO DE ESPECIALIDADE
5355761,2.74E+12,MAISON VERT LTDA,MAISON VERT RESIDENCIA GERIATRICA,ESTRADA VELHA DA TIJUCA,583,,ALTO DA BOA VISTA,20531080,22383410,22383410,maisonvert@maisonvert.com.br,-22.9510886,-43.260287,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
2280280,2.95E+13,SMS RIO CMS NICOLA ALBANO - AP 22,SMS CMS NICOLA ALBANO - AP 22,RUA BOA VISTA,190,,ALTO DA BOA VISTA,20531610,2495-4165,2492-5600,gerencia.altodaboavista@gmail.com,-22.9604476,-43.2708799,9/7/12,3,MUNICIPAL,4,UNIDADE SEM ATIVIDADE DE ENSINO,1,ADMINISTRACAO DIRETA DA SAUDE (MSSES E SMS),2,CENTRO DE SAUDE/UNIDADE BASICA
7069472,2.71E+13,CLINICA DE ASSISTENCIA MEDICA ANCHIETA LTDA,CAMIM ANCHIETA,ESTRADA MARECHAL ALENCASTRO,3759,,ANCHIETA,21625001,24556565,,rone@camim.com.br,-22.8234122,-43.4049692,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,4,POLICLINICA
6810896,4.90E+12,CENTRAL MEDICA E ODONTOLOGICA DE ANCHIETA LTDA,CENTRAL MEDICA E ODONTOLOGICA DE ANCHIETA,ESTRADA DO ENGENHO NOVO,412,,ANCHIETA,21620242,21 33557189,21 33553019,,-22.8269776,-43.4058787,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
3321312,4.25E+13,CLINICA MEDICA ODONTOLOGICA SAO LAZARO LTDA,CLINICA SAO LAZARO,RUA LAUDO DE CAMARGO,50,,ANCHIETA,21655490,(21)3339-2898,,,-22.8161063,-43.3822934,,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
